VOLUME,MAX_SPHERE,EQ_SPHERE,MIN_AXIS,MAX_AXIS,SPHERICITY,ASPECT_RATIO,Extent
4.685681000e+06,3.620414341e+02,2.076146675e+02,5.000000000e-01,5.000000000e-01,1.743814339e+00,1.000000000e+00,2.998835840e-01
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.108235255e+00,0.000000000e+00,4.511677442e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,5.000000000e-01,4.126699402e+02,1.000000000e+00,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.007071640e+00,0.000000000e+00,4.964890086e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.007071640e+00,0.000000000e+00,4.964890086e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.007071640e+00,0.000000000e+00,4.964890086e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.007071640e+00,4.126699402e+02,4.964890086e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.045927446e+00,0.000000000e+00,4.780446310e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.045927446e+00,1.611991954e+00,4.780446310e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.045927446e+00,0.000000000e+00,4.780446310e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.045927446e+00,0.000000000e+00,4.780446310e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.045927446e+00,0.000000000e+00,4.780446310e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.045927446e+00,0.000000000e+00,4.780446310e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.045927446e+00,0.000000000e+00,4.780446310e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.045927446e+00,0.000000000e+00,4.780446310e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.045927446e+00,0.000000000e+00,4.780446310e-01,1.000000000e+00
3.750000000e-01,0.000000000e+00,8.947002289e-01,5.000000000e-01,1.137592627e+00,0.000000000e+00,4.395246491e-01,7.500000000e-01
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.045927446e+00,1.611991954e+00,4.780446310e-01,1.000000000e+00
2.500000000e-01,2.560000000e+02,7.815926418e-01,5.000000000e-01,1.201546478e+00,3.275363486e+02,4.161303863e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.045927446e+00,0.000000000e+00,4.780446310e-01,1.000000000e+00
2.500000000e-01,2.560000000e+02,7.815926418e-01,5.000000000e-01,5.000000000e-01,3.275363486e+02,1.000000000e+00,5.000000000e-01
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.036507278e+00,0.000000000e+00,4.823892803e-01,1.000000000e+00
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.036507278e+00,4.126730886e+02,4.823892803e-01,1.000000000e+00
2.500000000e-01,0.000000000e+00,7.815926418e-01,5.000000000e-01,1.132663728e+00,0.000000000e+00,4.414372842e-01,5.000000000e-01
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.001323229e+00,0.000000000e+00,4.993392599e-01,1.000000000e+00
5.000000000e-01,2.560019531e+02,9.847450218e-01,5.000000000e-01,5.000000000e-01,2.599677556e+02,1.000000000e+00,6.666666667e-01
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.001323229e+00,0.000000000e+00,4.993392599e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.001323229e+00,1.611991954e+00,4.993392599e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.001323229e+00,1.611991954e+00,4.993392599e-01,1.000000000e+00
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.001323229e+00,4.126730886e+02,4.993392599e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.046134215e+00,0.000000000e+00,4.779501451e-01,1.000000000e+00
2.500000000e-01,2.560019531e+02,7.815926418e-01,5.000000000e-01,1.139451752e+00,3.275388475e+02,4.388075221e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.077531506e+00,0.000000000e+00,4.640235549e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.077531506e+00,0.000000000e+00,4.640235549e-01,1.000000000e+00
2.500000000e-01,2.560000000e+02,7.815926418e-01,5.000000000e-01,1.146535530e+00,3.275363486e+02,4.360963851e-01,1.000000000e+00
2.500000000e-01,1.000000000e+00,7.815926418e-01,5.000000000e-01,1.148047243e+00,1.279438862e+00,4.355221468e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.003260816e+00,4.126699402e+02,4.983748911e-01,1.000000000e+00
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.003260816e+00,4.126730886e+02,4.983748911e-01,1.000000000e+00
3.750000000e-01,2.560019531e+02,8.947002289e-01,5.000000000e-01,1.161643651e+00,2.861315386e+02,4.304245966e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.010178589e+00,0.000000000e+00,4.949619852e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.010178589e+00,4.126699402e+02,4.949619852e-01,1.000000000e+00
1.250000000e-01,2.560000000e+02,6.203504909e-01,5.000000000e-01,1.010178589e+00,4.126699402e+02,4.949619852e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.083472118e+00,0.000000000e+00,4.614793420e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.083472118e+00,0.000000000e+00,4.614793420e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.083472118e+00,1.611991954e+00,4.614793420e-01,1.000000000e+00
1.250000000e-01,2.560019531e+02,6.203504909e-01,5.000000000e-01,1.083472118e+00,4.126730886e+02,4.614793420e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.015410198e+00,1.611991954e+00,4.924118360e-01,1.000000000e+00
1.250000000e-01,0.000000000e+00,6.203504909e-01,5.000000000e-01,1.015410198e+00,0.000000000e+00,4.924118360e-01,1.000000000e+00
2.500000000e-01,1.000000000e+00,7.815926418e-01,5.000000000e-01,1.180754954e+00,1.279438862e+00,4.234578888e-01,1.000000000e+00
1.250000000e-01,1.000000000e+00,6.203504909e-01,5.000000000e-01,1.015410198e+00,1.611991954e+00,4.924118360e-01,1.000000000e+00
